User-ID,ISBN,Book-Rating,Age,Book-Title,Book-Author,Year-Of-Publication,Publisher,Country
276747,1885408226,7,25,The Golden Rule of Schmoozing,Aye Jaye,1998,Listen &amp; Live Audio, usa
276762,3453092007,8,25,Die zweite Haut.,Dean Koontz,1995,Heyne, germany
276774,3442136644,9,28,Endlich Nichtraucher.,Allen Carr,1992,Goldmann, switzerland
276786,8437606322,8,34,Anna Karenina,Leo Tolstoy,1999,Ediciones Catedra S.A., spain
276786,8478442588,6,34,El Elogio de La Sombra,Tanazaki,1998,Siruela, spain
276798,3442131340,7,31,Ein Fall fÃ?Â¼r Kay Scarpetta  Ein Mord fÃ?Â¼r Kay Scarpetta. Zwei Romane in einem Band.,Patricia Cornwell,2001,Goldmann, germany
276798,3548603203,6,31,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg, germany
276800,1562827898,7,23,Storm Surge: A Quin St. James and Mike McCleary Mystery,T. J. MacGregor,1993,Hyperion Books, new zealand
276813,8423996565,8,29,La hija del CanÃ­bal,Rosa Montero,1998,Espasa Calpe Mexicana S.A., spain
276813,8426449476,8,29,El Diaro De Bridget Jones,Helen Fielding,1996,Lumen Espana, spain
276813,8426449573,6,29,Bridget Jones:SobrevivirÃ©,Helen Fielding,2000,Downtown Book Center Inc, spain
276813,8478886044,8,29,Nadie Es Perfecto (Narrativa Actual),Jane Green,2001,Oceano De Mexico, spain
276822,038076041X,10,11,A Kid's Guide to How to Save the Planet (Camelot world),Billy Goodman,1990,Harpercollins Juvenile Books, canada
276822,1551925060,8,11,Surviving Sam,Karen Rivers,2002,Polestar Book Publishers, canada
276822,1573248533,10,11,Random Acts of Kindness,Dawna Markova,2002,Conari Press, canada
276847,3404145909,8,27,Der Stein der Kelten.,Michael Phillips,2001,LÃ?Â¼bbe, germany
276847,3404148576,8,27,Nordermoor,Arnaldur Indridason,2003,LÃ?Â¼bbe, germany
276847,3404921178,7,27,Nur der Tod ist ohne Makel.,Ann Granger,2002,LÃ?Â¼bbe, germany
276847,3423071516,10,27,Der Kleine Hobbit,J. R. R. Tolkien,2002,Distribooks, germany
276847,3426671298,8,27,Das geheime ABC der Toten.,Patricia Cornwell,1997,Droemersche Verlagsanstalt Th. Knaur Nachf. GmbH &amp; Co., germany
276847,344215121X,9,27,Hitlers Kinder.,Guido Knopp,2001,Goldmann, germany
276847,3442413508,10,27,Auf Ehre und Gewissen. Roman.,Elizabeth George,1992,Goldmann, germany
276847,3442422035,9,27,Keiner werfe den ersten Stein. Roman.,Elizabeth George,1993,Goldmann, germany
276847,3442435773,8,27,Denn keiner ist ohne Schuld.,Elizabeth George,1996,Goldmann, germany
276847,3442437717,7,27,Asche zu Asche.,Elizabeth George,1997,Goldmann, germany
276847,3442441080,10,27,Im Angesicht des Feindes.,Elizabeth George,1998,Goldmann, germany
276847,3442444020,8,27,Denn sie betrÃ?Â¼gt man nicht.,Elizabeth George,1999,Goldmann, germany
276847,3442446414,10,27,Mit dem KÃ?Â¼hlschrank durch Irland.,Tony Hawks,2000,Goldmann, germany
276847,3442448530,7,27,Die HirnkÃ?Â¶nigin.,Thea Dorn,2001,Goldmann, germany
276847,3442449820,9,27,Undank ist der VÃ?Â¤ter Lohn.,Elizabeth George,2001,Goldmann, germany
276847,3453137442,6,27,Der Goldene Kompass  The Golden Compass,Philip Pullman,2002,Distribooks, germany
276847,347354034X,7,27,Die Welle,Rhue,1998,Ullstein-Taschenbuch-Verlag Zweigniederlassung der Ullstein Buchverlage GmbH, germany
276847,3492231322,9,27,Der UnterhÃ?Â¤ndler.,Frederick Forsyth,2000,Piper, germany
276847,3499222213,7,27,Im Keller.,Jan Philipp Reemtsma,1998,Rowohlt Tb., germany
276847,3499228297,6,27,Alte Freunde neue Feinde. Ein Fall fÃ?Â¼r Bernhard Gunther.,Philip Kerr,2000,Rowohlt Tb., germany
276847,3506464078,10,27,Le Petit Prince. (FranzÃ?Â¶sische Ausgabe). (Lernmaterialien),Antoine de Saint-Exupery,1981,F. SchÃ?Â¶ningh Paderborn, germany
276847,3551551677,10,27,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,Carlsen Verlag GmbH, germany
276847,3551551685,10,27,Harry Potter und die Kammer des Schreckens,Joanne K. Rowling,2000,Carlsen Verlag GmbH, germany
276847,3551551693,10,27,Harry Potter und der Gefangene von Azkaban,J. K. Rowling,1999,Carlsen Verlag GmbH, germany
276847,3551551936,10,27,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,1999,Carlsen Verlag GmbH, germany
276847,3608932240,7,27,Der Herr der Ringe. AnhÃ?Â¤nge und Register.,John Ronald Reuel Tolkien,2000,Klett-Cotta, germany
276847,360893541X,10,27,Die Gefahrten I,J. R. R. Tolkien,2001,Distribooks, germany
276847,3608935428,10,27,Die Zwei Turme II,J. R. R. Tolkien,2001,Distribooks, germany
276847,3608935436,10,27,Die Wiederkehr Des Konigs III,J. R. R. Tolkien,2001,Distribooks Intl, germany
276847,3809024589,8,27,Die Chirurgin.,Tess Gerritsen,2002,Limes, germany
276847,3821815191,10,27,Das bizarre Sexualleben der Tiere. Ein populÃ?Â¤res Lexikon von Aal bis Zebra.,Michael Miersch,1999,Eichborn, germany
276853,8448034023,7,17,Mycroft Holmes Contra La Hermandad,Quinn Fawcett,2000,Timun Mas, spain
276861,3423201509,10,17,Die Weiss Lowin  Contemporary German Lit,Henning Mankell,2002,Distribooks, switzerland
276861,3446200452,8,17,Der Unsichtbare. ( Ab 13 J.).,Mats Wahl,2001,Carl Hanser Verlag, switzerland
276861,349223903X,6,17,Die MÃ?Â¤dchen mit den dunklen Augen.,Judith Lennox,2003,Piper, switzerland
276861,3499231603,9,17,Die Kunst des Verschwindens.,Jim Dodge,2002,Rowohlt Tb., switzerland
276861,360893541X,9,17,Die Gefahrten I,J. R. R. Tolkien,2001,Distribooks, switzerland
276861,3608935428,9,17,Die Zwei Turme II,J. R. R. Tolkien,2001,Distribooks, switzerland
276861,3608935436,9,17,Die Wiederkehr Des Konigs III,J. R. R. Tolkien,2001,Distribooks Intl, switzerland
276861,3886807843,8,17,Was Mir Wichtig War: Letzte Aufzeichnungen Und Gesprache,Marion Grafin Donhoff,2002,Verlag Wolf Jobst Siedler GmbH, switzerland
276866,3404126343,8,27,Die Krone der Welt.,Peter Berling,1997,LÃ?Â¼bbe, germany
276866,3404139178,9,27,Das Lacheln der Fortuna: Historischer Roman,Rebecca Gable,1997,LÃ?Â¼bbe, germany
276866,3404143299,7,27,Die Dinge des Lebens.,Alexandra Jones,2000,LÃ?Â¼bbe, germany
276866,3426192543,5,27,Im FrÃ?Â¼hling singt zum letztenmal die Lerche.,Johannes Mario Simmel,1990,Droemer Knaur, germany
276866,345309221X,8,27,Die Zauberin von Ruwenda.,Marion Zimmer Bradley,1995,Heyne, germany
276866,3453108361,7,27,Das Haus auf den Klippen.,Mary Higgins Clark,1996,Heyne, germany
276866,3453130901,5,27,Im Netz der Spinnen. Videokill.,Wolfgang Hohlbein,1998,Heyne, germany
