user_id,business_id,stars,review_days_since,name,review_count,user_days_active,useful,funny,cool,fans,average_stars,name_business,city,state,categories,stars_business,review_count_business,label
OyoGAe7OKpv6SyGZT5g77Q,7ATYjTIgM3jUlt4UM3IypQ,5,4946,Erin,10,5248,1,0,1,0,4.3,Body Cycle Spinning Studio,Philadelphia,PA,"Active Life, Cycling Classes, Trainers, Gyms, Fitness & Instruction",5,144,1
_7bHUi9Uuf5__HHc_Q8guQ,kxX2SOes4o-D3ZQBkiMRfA,5,3850,Kyle,9,4201,1,0,1,0,4.78,Zaika,Philadelphia,PA,"Halal, Pakistani, Restaurants, Indian",4,181,1
bcjbaE6dDog4jkNY91ncLQ,e4Vwtrqf-wpJfwesgvdgxQ,4,3108,Sophia,126,6302,1,0,1,0,2.9699999999999998,Melt,New Orleans,LA,"Sandwiches, Beer, Wine & Spirits, Bars, Food, Restaurants, American (Traditional), Nightlife",4,32,1
smOvOajNG0lS4Pq7d8g4JQ,RZtGWDLCAtuipwaZ-UfjmQ,4,5757,Meg,176,5773,0,0,0,1,3.46,LaScala's,Philadelphia,PA,"Pizza, Restaurants, Italian, Salad",3.5,367,1
4Uh27DgGzsp6PqrH913giQ,otQS34_MymijPTdNBoBdCw,4,5014,Goldie,50,5772,0,2,0,2,4.27,BK Tacos,Tucson,AZ,"Restaurants, Tacos, Mexican, Hot Dogs, Breakfast & Brunch, Steakhouses",4,492,1
1C2lxzUo1Hyye4RFIXly3g,BVndHaLihEYbr76Z0CMEGw,5,3934,Sydney,6,4377,0,0,0,0,4.17,Mamas Kitchen,Tampa,FL,"Sandwiches, Restaurants, American (New), American (Traditional), Breakfast & Brunch",4.5,162,1
j2wlzrntrbKwyOcOiB3l3w,rBdG_23USc7DletfZ11xGA,4,3996,Tracy,74,5839,1,0,0,13,3.52,Olio,Saint Louis,MO,"Wine Bars, Bars, Nightlife, American (New), Mediterranean, Restaurants",4,398,1
IQsF3Rc6IgCzjVV9DE8KXg,eFvzHawVJofxSnD7TgbZtg,5,3902,Dana,182,5626,0,0,0,6,3.41,Good Karma Cafe,Philadelphia,PA,"Food, Cafes, Coffee & Tea, Restaurants",4,249,1
Ohhrhu1RkqfVciIVx_W5HQ,nRKndeZLQ3eDL10UMwS2rQ,5,5758,Ahna,303,6946,2,5,2,12,3.85,Ted Drewes,Saint Louis,MO,"Ice Cream & Frozen Yogurt, Food, Local Flavor, Desserts",4.5,1395,1
vrKkXsozqqecF3CW4cGaVQ,rjuWz_AD3WfXJc03AhIO_w,5,4610,Mike,120,5451,2,2,2,5,4.44,The N Crowd,Philadelphia,PA,"Performing Arts, Arts & Entertainment, Nightlife, Comedy Clubs",4.5,90,1
OhECKhQEexFypOMY6kypRw,vC2qm1y3Au5czBtbhc-DNw,4,4336,Kai,23,5482,0,0,0,0,3.96,Sushi Teri,Carpinteria,CA,"Restaurants, Sushi Bars",3,167,1
RreNy--tOmXMl1en0wiBOg,cPepkJeRMtHapc_b2Oe_dw,4,2559,Patricia,240,5292,1,0,1,5,4.19,Naked Tchopstix Express,Indianapolis,IN,"Restaurants, Food, Poke, Hawaiian, Sushi Bars",3.5,33,1
clWLI5OZP2ad25ugMVI8gg,x4XdNhp0Xn8lOivzc77J-g,5,4356,Jen,17,5108,0,0,0,0,3.24,Thai Place Restaurant,Phoenixville,PA,"Thai, Restaurants",4.5,222,1
Jha0USGDMefGFRLik_xFQg,bMratNjTG5ZFEA6hVyr-xQ,5,3072,Lauren,116,3227,0,0,0,1,4.47,Portobello Cafe,Eddystone,PA,"Restaurants, Seafood, Cafes, Italian",4,137,1
4hBhtCSgoxkrFgHa4YAD-w,bbEXAEFr4RYHLlZ-HFssTA,5,3120,Heidi,922,5436,0,0,0,51,4.2,The Original Habit Burger Grill,Goleta,CA,"Fast Food, Burgers, Restaurants",4,329,1
